SITE_NAME,Lat,Lon,Veast,Vnorth,Vup,sigEast,sigNorth,sigUp
P290,36.178939823200004,239.27174614220002,-0.00886,0.011590000000000001,0.00159,0.00018999999999999998,0.00015,0.00058
P291,35.9227796247,239.3552263016,-0.02499,0.03307,-0.00047000000000000004,0.00022,0.00016,0.00088
P291,35.9227796041,239.3552263134,-0.02499,0.03307,-0.00047000000000000004,0.00022,0.00016,0.00088
P292,36.007465078,239.5247227489,-0.00955,0.016319999999999998,0.00247,0.00033,0.0006,0.00059
P292,36.0074651204,239.5247227114,-0.00955,0.016319999999999998,0.00247,0.00033,0.00059,0.00059
P293,36.0893650884,239.45700528970002,-0.00903,0.01377,0.0015400000000000001,0.00018,0.00016999999999999999,0.0006900000000000001
P293,36.0893651211,239.4570052125,-0.00904,0.01377,0.0015400000000000001,0.00018,0.00016999999999999999,0.0006900000000000001
P294,36.1232371357,239.5601164427,-0.00898,0.013569999999999999,0.00159,0.00018999999999999998,0.00018,0.0007099999999999999
P294,36.1232371646,239.56011644720002,-0.00898,0.013569999999999999,0.00159,0.00018999999999999998,0.00018,0.0007099999999999999
P295,35.6970796708,239.15761398560002,-0.02628,0.03403,2e-05,0.00014,0.00014,0.00095
P295,35.697079745399996,239.1576138937,-0.02628,0.03403,2e-05,0.00014,0.00014,0.00095
P295,35.697079746,239.15761388240003,-0.02628,0.03403,2e-05,0.00014,0.00014,0.00095
P296,36.051655976599996,239.6364372579,-0.00898,0.01487,0.00133,0.00022999999999999998,0.00016,0.00081
P296,36.0516559713,239.6364372743,-0.00898,0.01487,0.00133,0.00022999999999999998,0.00016,0.00081
P296,36.0516559723,239.6364372598,-0.00898,0.01487,0.00133,0.00022999999999999998,0.00016,0.00081
P297,35.974088436399995,239.4481391059,-0.02502,0.03234,-0.00036,0.0004,0.0004,0.00072
P297,35.9740884399,239.4481391352,-0.02502,0.03234,-0.00036,0.0004,0.0004,0.00072
P297,35.9740883576,239.4481392673,-0.02502,0.03234,-0.00036,0.0004,0.0004,0.00072
P298,36.0158431563,239.705939585,-0.00912,0.014430000000000002,0.0017800000000000001,0.00016999999999999999,0.00018999999999999998,0.0008900000000000001
P298,36.015843183899996,239.70593955169997,-0.00912,0.014430000000000002,0.0017800000000000001,0.00016999999999999999,0.00018999999999999998,0.0008900000000000001
P298,36.0158431387,239.7059395712,-0.00912,0.014430000000000002,0.0017800000000000001,0.00016999999999999999,0.00018999999999999998,0.0008900000000000001
P299,36.2568200877,239.28980068240003,-0.01037,0.011890000000000001,0.00172,0.00043,0.0005200000000000001,0.0007
P299,36.256820020999996,239.2898005689,-0.01038,0.011890000000000001,0.00172,0.00043,0.0005200000000000001,0.0007
P299,36.2568200066,239.2898004561,-0.01038,0.011890000000000001,0.00172,0.00043,0.0005200000000000001,0.0007
P299,36.256820049299996,239.2898006275,-0.01037,0.011890000000000001,0.00172,0.00043,0.0005200000000000001,0.0007
P300,36.304428147399996,239.72301826700001,-0.00702,0.01234,-0.00011999999999999999,0.00101,0.00058,0.0006
P300,36.3044281842,239.7230183147,-0.00702,0.01234,-0.00011999999999999999,0.00101,0.00058,0.0006
P300,36.3044281211,239.7230182432,-0.00702,0.01234,-0.00011999999999999999,0.00101,0.00058,0.0006
P301,36.8062918418,239.2569455708,-0.00934,0.00949,-0.00025,0.00016,0.0002,0.00075
